cmdId  W   SET-handler  QUERY-handler  command
-----  --  -----------  -------------  -------
0x0001  RW  0x17870      -              :OUTP:ON
0x0002  RW  0x178f8      -              *:CLS
0x0003  RW  0x1790c      0x2146a        *:ESE
0x0004  R   0x1786a      0x214aa        *:ESR
0x0005  R   0x17864      0x214fc        *:IDN
0x0006  RW  0x1794e      0x215c2        *:OPC
0x0007  R   0x1785e      0x21656        *:OPT
0x0008  RW  0x1798e      -              *:RCL
0x0009  RW  0x1798e      -              *:RST
0x000a  RW  0x1798e      -              :SYST:PRES
0x000b  RW  0x17a44      -              *:SAV
0x000c  RW  0x17a7e      0x216b0        *:SRE
0x000d  R   0x17858      0x216ec        *:STB
0x000e  RW  0x17aba      -              *:TRG
0x000f  R   0x17852      0x2173a        *:TST
0x0010  RW  0x17b2a      -              *:WAI
0x0011  RW  0x17ac6      -              ?
0x0012  R   0x1784c      0x26854        :DATA
0x0013  RW  0x17b78      0x230ce        :FUNC:CONC
0x0014  RW  0x17c6e      0x231c0        :FUNC:OFF
0x0015  RW  0x17d8e      -              :FUNC:OFF:ALL
0x0016  R   0x17846      0x2321e        :FUNC:OFF:COUN
0x0017  RW  0x17e20      0x230fa        :FUNC
0x0018  RW  0x17fee      -              :FUNC:ALL
0x0019  R   0x17840      0x23158        :FUNC:COUN
0x001a  R   0x1783a      0x23286        :FUNC:STAT
0x001b  RW  0x18226      0x234de        :AVER:TCON
0x001c  RW  0x18256      0x23450        :AVER:COUN
0x001d  RW  0x182a2      0x23424        :AVER
0x001e  RW  0x180dc      0x232e4        :NPLC
0x001f  RW  0x181e2      0x233f8        :CURR:PROT:RSYN
0x0020  RW  0x18314      0x23518        :VOLT:RANG
0x0021  RW  0x184e0      0x235f6        :VOLT:RANG:AUTO
0x0022  RW  0x17834      0x23622        :VOLT:RANG:AUTO:ULIM
0x0023  RW  0x18564      0x23668        :VOLT:RANG:AUTO:LLIM
0x0024  RW  0x185f2      0x23732        :VOLT:PROT
0x0025  RW  0x1782e      0x237ee        :VOLT:PROT:TRIP
0x0026  RW  0x18810      0x23836        :RES:RANG
